VehicleID,CustomerGrade,AuctionPurchaseDate,AuctionPurchaseAmount,AuctionSaleDate,AuctionSaleAmount,VehicleType,Year,Make,Model,Trim,BodyType,AuctionPurchaseOdometer,AutomaticTransmission,DriveType
7208,B,2014-02-26,11690,2015-11-24,2973,Car,2012,Ford,Fusion,SE,Sedan,86121,1,FWD
11791,B,2014-02-19,9445,2015-07-09,4192,Car,2012,FIAT,500,Sport,Hatchback,50651,1,FWD
25617,B,2014-10-02,6230,2015-12-01,2892.69,Car,2010,Chevrolet,Aveo,LT,Sedan,82812,1,FWD
15865,A,2011-11-02,5875,2015-06-09,2770,SUV,2004,Ford,Explorer,XLS,SUV,91781,1,NA
9687,C,2014-02-26,7375,2015-05-19,4333,Car,2008,Hyundai,Elantra,SE,Sedan,74507,1,FWD
22069,B,2012-03-30,8210,2015-10-20,1044,SUV,2006,Dodge,Durango,SLT,SUV,156036,1,NA
13085,B,2013-12-12,7640,2015-11-13,4364,Car,2009,Toyota,Corolla,Base,Sedan,90433,1,FWD
32408,B,2012-12-20,6040,2015-02-17,1773.5,Car,2004,Ford,Mustang,Base,Coupe,94837,0,NA
13102,C,2014-01-08,11045,2015-09-10,7502,Car,2012,Mazda,Mazda6,i Sport,Sedan,56865,1,FWD
21352,C,2014-05-07,9040,2015-03-05,8230,Car,2011,Chevrolet,Impala,LS Fleet,Sedan,72233,1,FWD
12760,B,2012-12-11,8540,2015-03-20,3756.5,Car,2008,Dodge,Avenger,SE,Sedan,87700,1,NA
31560,C,2014-05-09,9775,2015-08-26,4016.96,Car,2009,Nissan,cube,Krom,Wagon,89074,1,FWD
17496,B,2013-08-22,8740,2015-12-09,1571.5,Van,2009,Dodge,Grand Caravan,SE,Mini-Van,96065,1,FWD
13184,B,2014-04-11,8040,2015-04-03,4157.5,Car,2008,Dodge,Avenger,SE,Sedan,74586,1,FWD
2569,C,2013-09-30,5725,2015-12-02,2639,Car,2008,Dodge,Caliber,SXT,Wagon,94985,1,FWD
22242,B,2012-06-05,6910,2015-04-07,2177,SUV,2005,Chevrolet,Equinox,LS,SUV,102913,1,NA
21690,A,2011-08-23,8565,2015-01-13,4677,Car,2006,Dodge,Magnum,SXT,Wagon,98298,1,NA
3147,C,2014-01-22,10700,2015-07-08,4800.46,Car,2009,Dodge,Charger,SXT,Sedan,84555,1,RWD
5978,C,2013-04-04,8650,2015-09-22,2965.5,Car,2009,Chevrolet,Malibu,LS,Sedan,95300,1,FWD
23700,A,2013-07-31,7665,2015-05-05,3461.99,Car,2010,Chevrolet,Aveo,LT,Sedan,79513,1,FWD
34085,A,2013-07-10,9140,2015-07-30,4202,SUV,2009,Ford,Escape,XLT,SUV,101904,1,4X4
27477,B,2014-04-02,9780,2015-12-16,4615.47,SUV,2007,Ford,Explorer,XLT,SUV,91607,1,4WD
8114,A,2014-11-06,9830,2015-07-21,8397.15,Car,2012,Chevrolet,Impala,LT Fleet,Sedan,51802,1,FWD
30437,C,2012-09-18,6085,2015-02-19,2489.1,Car,2006,Pontiac,Grand Prix,Base,Sedan,95538,1,NA
31321,C,2014-02-05,8140,2015-12-08,2407.1,Car,2010,Hyundai,Sonata,GLS,Sedan,91033,1,FWD
23263,C,2013-03-25,9670,2015-08-04,3373.38,Car,2010,Ford,Fusion,SE,Sedan,99903,1,NA
14566,A,2013-06-20,4390,2015-06-30,1382.4,Car,2007,Chevrolet,Aveo,LS,Sedan,57083,1,FWD
23068,B,2013-01-22,10040,2015-12-29,3228,Car,2007,Volvo,S60,2.5T,Sedan,81763,1,NA
15270,C,2014-04-02,4740,2015-08-26,4372.5,Car,2007,Chevrolet,Cobalt,LS,Sedan,61798,1,FWD
31897,C,2015-01-15,6500,2015-10-22,3925,SUV,2006,Ford,Escape,XLT,SUV,81066,1,AWD
20163,B,2014-09-18,6340,2015-11-17,3211,Car,2010,Chevrolet,Cobalt,LT,Sedan,108100,1,FWD
28201,B,2014-06-24,6285,2015-09-24,3003.5,Car,2007,Nissan,Sentra,2.0 S,Sedan,104412,1,FWD
33847,B,2014-11-07,7900,2015-08-04,4017.5,SUV,2009,Dodge,Journey,SE,SUV,97317,1,FWD
33826,B,2014-10-23,8275,2015-07-29,3002,Car,2011,Ford,Fusion,SEL,Sedan,90994,1,FWD
8199,C,2014-12-31,7135,2015-08-18,2799.04,SUV,2008,Chevrolet,Equinox,LS,SUV,102360,1,FWD
18695,B,2011-10-25,5675,2015-03-26,1867.75,Car,2006,Chevrolet,Malibu,LT,Sedan,129957,1,NA
32221,A,2012-08-28,6440,2015-04-07,1965,Van,2006,Kia,Sedona,LX,Mini-Van,110873,1,NA
13972,B,2012-10-16,8625,2015-02-04,5426.26,Van,2010,Dodge,Grand Caravan,SXT,Mini-Van,109563,1,NA
13821,A,2012-08-15,5440,2015-06-17,1292,Van,2007,Dodge,Grand Caravan,SXT,Mini-Van,99327,1,NA
34902,A,2014-09-16,6430,2015-10-28,3211,SUV,2006,Chevrolet,TrailBlazer,LS,SUV,100446,1,RWD
16114,A,2014-02-12,9540,2015-09-16,977,SUV,2010,Ford,Escape,XLT,SUV,88650,1,FWD
1470,B,2013-01-25,12500,2015-06-09,7248.59,Car,2013,Suzuki,SX4,LE,Sedan,22,1,NA
2315,B,2013-08-14,6025,2015-12-30,1163.35,Car,2008,Chevrolet,Cobalt,LT,Sedan,97245,1,FWD
5388,A,2012-10-08,6800,2015-04-14,3593.11,Truck,2009,Ford,F-150,XL,Pickup,116982,1,NA
35156,B,2013-11-22,8040,2015-01-08,4018.72,Car,2010,Chevrolet,Impala,LS,Sedan,71161,1,FWD
29268,C,2013-08-20,8595,2015-02-28,3586,Car,2006,Chevrolet,Impala,LT,Sedan,63566,1,FWD
29627,B,2014-03-21,5900,2015-02-10,3238.05,Car,2005,Chrysler,Pacifica,Base,Wagon,91508,1,FWD
4333,A,2015-01-08,9445,2015-11-04,6494,Car,2013,Dodge,Avenger,SE,Sedan,55722,1,FWD
31109,C,2013-10-15,7740,2015-02-18,3965.92,SUV,2008,Suzuki,XL7,Premium,SUV,82465,1,FWD
12351,A,2015-01-12,10805,2015-09-15,7669.4,Truck,2006,Dodge,Ram Pickup 1500,SLT,Pickup,71510,1,RWD
10591,B,2012-09-11,7540,2015-02-26,4658,SUV,2006,Jeep,Grand Cherokee,Laredo,SUV,118028,1,NA
19858,B,2014-02-20,11275,2015-09-24,4601.5,SUV,2008,Land Rover,LR2,SE,SUV,95947,1,4X4
22202,A,2012-05-24,6535,2015-01-20,1669.75,Car,2007,Chrysler,Sebring,Base,Sedan,130667,1,NA
229,A,2011-11-09,10800,2015-03-10,6565.54,SUV,2005,Chevrolet,Tahoe,LT,SUV,94084,1,NA
25814,B,2014-12-11,6720,2015-08-05,3587.3,Car,2010,Toyota,Yaris,Base,Sedan,90544,1,FWD
28297,C,2015-01-13,8910,2015-11-04,7001.49,SUV,2011,Ford,Escape,XLS,SUV,70742,1,FWD
7111,C,2014-02-04,7670,2015-06-23,2871,Car,2009,Hyundai,Sonata,GLS,Sedan,81986,1,FWD
14299,A,2013-03-07,6840,2015-07-22,2001.85,Car,2007,Chevrolet,Aveo,LT,Sedan,51694,1,NA
2509,C,2013-09-19,8425,2015-07-01,3516.9,Car,2011,Chevrolet,Malibu,LS Fleet,Sedan,93401,1,FWD
32951,B,2013-10-17,8400,2015-08-04,5818,SUV,2005,Chevrolet,Tahoe,LT,SUV,106063,1,4WD
21985,C,2012-01-18,6405,2015-12-01,1727,Car,2006,Chevrolet,HHR,LT,Wagon,127785,1,NA
5909,B,2013-02-21,6050,2015-05-12,3998.5,Car,2007,Ford,Focus,ZX4 S,Sedan,76544,1,FWD
8652,B,2012-06-13,8415,2015-11-17,1720,SUV,2003,Ford,Expedition,XLT,SUV,108011,1,NA
8586,A,2012-04-24,9250,2015-05-26,3683,SUV,2006,Ford,Explorer,XLT,SUV,115623,1,NA
16648,C,2012-07-19,8910,2015-03-02,1554.84,Car,2008,Smart,fortwo,passion,Hatchback,30606,1,NA
6820,A,2013-11-07,6840,2015-04-21,3680.31,SUV,2004,Chevrolet,Suburban,1500 Z71,SUV,134611,1,4WD
15122,B,2014-02-06,7215,2015-10-07,4041.6,Car,2010,Dodge,Caliber,SXT,Wagon,87982,1,FWD
8032,B,2014-10-09,5680,2015-12-15,3222.93,Car,2010,Chevrolet,Cobalt,LT,Sedan,82940,1,FWD
34110,B,2013-07-30,7240,2015-06-04,4650,SUV,2004,Jeep,Liberty,Sport,SUV,81929,1,4WD
12706,A,2012-10-25,7740,2015-12-11,4330.01,Van,2009,Dodge,Grand Caravan,SE,Mini-Van,85156,1,NA
18819,C,2012-04-03,7210,2015-08-06,950.5,SUV,2006,Chevrolet,Equinox,LT,SUV,98160,1,NA
30909,C,2013-07-23,10075,2015-12-08,5265.27,SUV,2007,Jeep,Commander,Sport,SUV,72363,1,4WD
33850,B,2014-11-17,8400,2015-12-15,4194.68,Car,2011,Ford,Focus,Sport SES,Sedan,84398,1,FWD
12426,B,2011-08-31,7175,2015-04-17,1990,Car,2003,Mazda,Mazda6,s,Sedan,134089,1,NA
19431,B,2013-06-18,9340,2015-04-30,6765.5,Car,2006,INFINITI,G35,x,Sedan,100213,1,AWD
7696,B,2014-06-24,8440,2015-03-04,2387,Car,2010,Ford,Fusion,SE,Sedan,83733,1,FWD
5372,C,2012-10-04,7430,2015-04-02,1337.59,SUV,2005,GMC,Envoy XL,SLE,SUV,97156,1,NA
35166,B,2013-12-03,10500,2015-07-07,6997.27,Car,2012,Chrysler,200,LX,Sedan,43130,1,FWD
2947,C,2013-12-06,10775,2015-09-23,6152,Car,2012,Dodge,Avenger,SE,Sedan,40655,1,FWD
23308,B,2013-04-08,6040,2015-10-06,656,Car,2006,Dodge,Stratus,SXT,Sedan,102097,1,NA
20491,C,2012-05-16,6110,2015-06-18,1287,SUV,2005,Saturn,Vue,Base,SUV,155700,1,NA
12267,C,2014-10-21,6305,2015-10-07,3819.5,Car,2005,Audi,A4,3,Sedan,80400,1,FWD
31600,B,2014-05-23,8825,2015-11-25,2706.15,Car,2010,Chevrolet,Malibu,LT,Sedan,98213,1,FWD
22301,C,2012-06-22,5820,2015-09-29,784,Van,2007,Chrysler,Town and Country,Base,Mini-Van,90139,1,NA
29766,B,2014-06-03,10600,2015-03-26,7359.5,SUV,2006,Jeep,Commander,Limited,SUV,107842,1,4WD
30369,B,2012-08-22,9220,2015-11-19,1607,Car,2004,BMW,3 Series,325i,Sedan,101491,1,NA
