FirstYearDelinquency,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
0,142,74,37,0,49,4,400,0
0,239,123,13,0,68,0,30,0
0,323,249,46,1,65,0,1,0
1,7,NA,NA,0,NA,NA,NA,0
0,329,322,40,0,86,1,1,0
0,147,107,84,0,96,0,1,0
0,76,56,15,0,24,2,1,0
0,314,137,7,0,75,10,400,0
0,181,73,69,0,69,0,400,0
0,326,213,119,1,119,0,400,0
1,362,121,5,0,44,4,400,0
1,214,131,5,0,5,1,1,0
0,376,239,NA,0,NA,NA,1,0
0,346,336,43,0,83,1,400,0
0,296,191,52,0,87,1,1,0
0,280,45,NA,0,NA,NA,60,0
0,76,69,NA,0,NA,NA,1,0
0,140,124,NA,1,NA,NA,1,0
1,262,108,16,0,71,2,400,0
0,36,NA,NA,0,NA,NA,NA,0
1,83,62,NA,0,NA,NA,1,0
0,300,126,18,1,29,2,400,0
1,44,NA,NA,NA,NA,NA,NA,0
0,379,67,48,1,58,1,400,0
0,291,243,NA,0,NA,NA,90,0
0,65,51,51,0,51,1,30,0
0,149,107,107,0,107,0,1,0
0,306,141,NA,0,NA,NA,400,0
0,292,138,138,0,138,1,1,0
1,141,140,26,0,53,1,400,0
1,170,113,79,0,102,1,400,0
1,176,173,43,0,60,2,1,0
0,132,117,27,0,61,1,60,1
0,215,198,60,1,60,0,400,0
0,320,148,NA,0,NA,NA,1,0
0,125,43,43,0,43,0,1,0
1,60,54,8,0,8,0,400,1
0,96,95,NA,2,NA,NA,1,0
1,61,38,NA,0,NA,NA,400,1
1,258,199,86,0,86,0,90,0
0,315,202,30,1,68,0,1,0
1,54,9,NA,0,NA,NA,1,1
1,236,57,42,0,42,0,1,0
0,305,234,7,0,68,4,1,0
0,54,47,NA,0,NA,NA,1,0
1,17,19,NA,0,NA,NA,1,0
1,1,1,NA,0,NA,NA,1,0
0,50,52,NA,0,NA,NA,400,0
0,341,130,75,0,97,2,1,0
0,185,162,40,1,60,0,400,0
1,224,160,62,0,62,1,1,0
1,311,127,16,0,41,0,400,0
0,320,143,23,0,88,1,1,0
1,147,NA,NA,0,NA,NA,NA,0
0,224,102,96,0,96,2,1,0
0,132,102,NA,0,NA,NA,400,0
0,150,97,NA,0,NA,NA,1,1
0,302,264,113,0,113,0,1,0
1,46,43,NA,0,NA,NA,400,0
1,288,144,144,0,144,1,1,0
0,296,134,NA,0,NA,NA,1,0
1,94,65,NA,1,NA,NA,400,0
1,14,NA,NA,NA,NA,NA,NA,0
0,335,88,63,0,63,0,1,0
0,131,NA,NA,NA,NA,NA,NA,0
0,294,265,23,1,37,2,1,0
0,206,121,99,0,99,1,1,0
0,136,134,NA,1,NA,NA,400,0
1,113,93,93,2,93,1,1,0
0,68,61,18,0,23,1,60,0
0,119,96,NA,0,NA,NA,1,0
0,209,99,NA,2,NA,NA,1,0
0,353,126,26,0,26,0,1,0
1,83,75,65,1,65,0,400,0
1,266,85,49,0,67,1,1,0
1,1,1,NA,0,NA,NA,1,0
0,159,NA,NA,1,NA,NA,NA,0
0,211,NA,NA,NA,NA,NA,NA,0
0,257,48,48,0,48,1,400,0
0,246,227,69,1,113,4,1,0
0,281,249,2,1,69,3,1,0
1,128,125,NA,0,NA,NA,400,0
1,205,156,34,2,90,2,400,0
1,164,131,83,1,107,1,400,1
0,28,30,NA,1,NA,NA,1,1
0,309,284,76,0,97,1,1,0
0,162,143,10,0,47,1,400,0
0,110,35,NA,0,NA,NA,120,0
