FirstYearDelinquency,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
0,23,NA,NA,0,NA,NA,NA,0
1,105,34,NA,0,NA,NA,1,0
1,157,121,62,0,62,0,400,0
0,301,238,93,0,166,1,1,0
0,147,77,44,0,44,0,1,0
0,65,51,51,0,51,1,1,0
0,21,NA,NA,0,NA,NA,NA,0
0,271,222,NA,0,NA,NA,1,0
1,105,23,23,1,23,0,400,0
1,286,104,80,0,92,0,1,0
0,171,76,6,1,38,1,400,0
0,314,112,NA,0,NA,NA,1,0
1,379,251,79,0,97,0,400,0
1,122,NA,NA,0,NA,NA,NA,0
1,168,143,102,1,102,0,400,1
0,284,203,NA,0,NA,NA,400,0
0,80,80,NA,0,NA,NA,1,0
0,242,251,40,0,40,0,1,0
1,34,NA,NA,1,NA,NA,NA,1
0,379,181,102,0,108,2,400,0
0,340,170,86,0,86,0,120,0
0,80,81,11,0,54,3,120,0
1,279,21,NA,0,NA,NA,400,0
0,246,212,44,0,80,3,90,0
1,291,215,NA,0,NA,NA,30,0
0,20,NA,NA,NA,NA,NA,NA,0
1,108,94,94,1,94,1,30,0
1,374,119,7,1,41,4,30,0
1,348,256,NA,0,NA,NA,1,0
0,262,93,NA,0,NA,NA,1,0
0,32,NA,NA,0,NA,NA,NA,0
1,299,164,NA,0,NA,NA,1,1
0,349,109,86,1,86,0,400,0
0,207,NA,NA,0,NA,NA,NA,0
1,12,7,7,0,7,1,1,0
0,298,143,30,0,30,1,400,0
0,335,166,42,0,102,4,90,0
0,81,81,52,0,56,1,1,0
1,21,21,NA,0,NA,NA,1,0
1,230,215,108,0,108,0,1,0
0,269,78,NA,0,NA,NA,400,0
1,172,NA,NA,1,NA,NA,NA,0
1,249,245,44,0,44,0,400,0
1,116,81,15,1,46,4,400,1
1,77,70,70,0,70,0,400,0
0,303,114,114,0,114,0,1,0
1,97,NA,NA,0,NA,NA,NA,0
1,377,105,NA,0,NA,NA,400,0
0,363,NA,NA,0,NA,NA,NA,0
0,187,182,NA,0,NA,NA,400,0
0,304,114,15,0,56,2,400,0
0,352,188,NA,0,NA,NA,1,0
1,247,231,NA,0,NA,NA,400,0
1,176,7,NA,0,NA,NA,1,0
0,131,NA,NA,0,NA,NA,NA,0
1,266,60,20,0,40,0,30,0
0,NA,NA,NA,0,NA,NA,NA,0
0,310,122,NA,0,NA,NA,400,0
1,282,129,16,0,16,1,60,0
0,264,162,23,0,84,5,400,0
1,81,81,20,0,47,2,400,0
0,271,121,NA,0,NA,NA,400,1
0,27,5,NA,0,NA,NA,1,0
0,221,123,50,0,69,1,400,0
0,64,19,NA,0,NA,NA,1,0
0,383,232,28,0,28,0,1,0
0,241,107,49,1,49,0,1,0
0,293,112,45,0,45,0,400,0
1,224,91,45,1,45,0,400,1
0,147,69,51,0,60,2,400,0
0,351,82,NA,0,NA,NA,120,0
0,336,249,NA,0,NA,NA,400,0
1,33,34,NA,0,NA,NA,400,0
0,87,81,NA,0,NA,NA,1,0
0,352,161,NA,0,NA,NA,30,0
0,240,215,NA,0,NA,NA,400,0
0,180,NA,NA,0,NA,NA,NA,0
0,346,155,155,1,155,1,400,0
1,137,131,50,2,66,0,400,0
1,231,82,NA,0,NA,NA,400,0
1,283,72,72,0,72,1,1,0
0,243,14,14,0,14,1,1,0
0,222,92,20,0,50,2,400,0
0,236,NA,NA,0,NA,NA,NA,0
0,262,128,128,0,128,1,90,0
0,208,158,73,0,100,3,30,0
1,290,160,5,0,57,5,1,0
1,97,85,NA,0,NA,NA,400,0
1,132,137,NA,0,NA,NA,1,0
1,125,NA,NA,NA,NA,NA,NA,0
1,347,183,1,0,71,1,400,0
0,69,NA,NA,0,NA,NA,NA,0
1,75,77,12,0,12,0,400,0
0,285,133,17,0,96,2,400,0
0,217,76,NA,0,NA,NA,400,0
0,195,207,99,0,99,1,400,0
1,333,281,55,0,102,3,1,0
0,152,124,25,0,82,2,400,0
0,126,121,17,0,17,1,30,0
1,373,125,52,0,87,2,30,0
0,235,98,NA,0,NA,NA,60,0
1,256,337,13,0,57,0,400,1
1,320,161,17,0,27,0,400,0
0,377,392,133,0,133,1,1,0
0,319,197,81,1,81,0,1,0
0,133,39,39,0,39,1,1,0
1,81,55,NA,0,NA,NA,400,0
1,217,NA,NA,0,NA,NA,NA,0
1,243,114,21,3,67,0,400,0
0,288,204,44,0,94,2,400,0
1,306,197,22,3,101,3,60,0
0,127,77,77,0,77,1,1,0
0,297,214,25,1,84,1,400,1
0,289,74,NA,0,NA,NA,400,0
0,161,114,NA,2,NA,NA,400,0
0,350,NA,NA,NA,NA,NA,NA,0
0,235,162,44,0,44,1,400,0
0,223,143,NA,0,NA,NA,1,1
0,207,41,32,1,32,1,400,0
1,63,18,NA,0,NA,NA,400,0
0,180,7,NA,0,NA,NA,1,1
0,145,66,53,0,53,1,1,0
0,394,190,34,1,54,3,1,0
1,144,NA,NA,0,NA,NA,NA,0
0,34,31,NA,0,NA,NA,1,0
0,182,179,96,0,96,1,1,0
0,320,605,58,0,64,0,1,0
1,121,95,21,0,57,2,30,0
0,46,14,NA,0,NA,NA,90,0
1,277,88,12,0,12,1,1,0
0,114,324,29,1,29,0,1,0
0,164,162,92,0,116,1,120,0
0,75,45,33,0,33,0,1,0
0,218,130,98,2,114,1,1,0
0,316,68,24,0,24,0,400,0
1,152,147,35,0,75,1,1,0
0,259,139,44,0,57,2,30,0
1,307,284,37,2,65,0,1,1
1,347,180,39,0,99,5,30,0
1,374,323,NA,0,NA,NA,400,0
0,303,203,52,0,69,1,400,0
0,2,NA,NA,0,NA,NA,NA,0
0,236,149,NA,0,NA,NA,1,0
0,307,312,NA,0,NA,NA,1,0
1,26,NA,NA,0,NA,NA,NA,0
0,180,159,34,1,62,0,400,0
0,235,88,NA,0,NA,NA,1,0
0,203,66,NA,2,NA,NA,1,0
0,242,140,105,0,105,0,1,0
0,71,74,NA,0,NA,NA,1,0
0,299,120,62,0,82,1,1,0
0,66,53,NA,0,NA,NA,400,1
0,125,115,NA,0,NA,NA,1,0
0,222,145,36,0,107,3,30,0
0,169,171,NA,0,NA,NA,400,0
1,NA,NA,NA,NA,NA,NA,NA,NA
0,259,272,NA,1,NA,NA,30,0
0,145,73,73,2,73,0,400,0
0,211,211,80,0,80,0,30,0
1,NA,NA,NA,0,NA,NA,NA,0
0,180,NA,NA,NA,NA,NA,NA,0
0,332,202,18,1,54,1,400,0
0,90,30,NA,0,NA,NA,400,0
0,10,7,NA,0,NA,NA,1,0
0,125,108,NA,0,NA,NA,400,0
0,79,80,NA,0,NA,NA,1,0
1,178,178,NA,0,NA,NA,400,0
0,103,106,NA,0,NA,NA,1,0
0,157,158,66,1,66,0,400,0
0,34,NA,NA,0,NA,NA,NA,0
1,75,77,42,1,42,1,1,0
1,340,85,73,0,73,0,1,0
0,217,110,NA,0,NA,NA,1,0
0,107,115,70,0,70,0,400,1
1,33,29,NA,0,NA,NA,90,0
1,268,NA,NA,1,NA,NA,NA,0
0,297,106,49,1,91,3,400,0
0,362,329,39,1,66,2,400,0
0,178,175,125,0,125,0,400,0
0,241,82,NA,0,NA,NA,400,0
1,281,228,20,3,46,1,30,1
0,6,7,NA,0,NA,NA,1,0
0,322,44,NA,1,NA,NA,400,0
1,207,200,NA,0,NA,NA,1,0
1,204,75,75,1,75,0,1,0
0,235,127,17,1,86,2,400,0
1,383,171,9,1,90,1,400,0
1,245,NA,NA,NA,NA,NA,NA,0
0,281,87,NA,0,NA,NA,1,0
1,16,17,NA,0,NA,NA,120,1
0,301,165,77,0,77,0,1,0
1,32,32,6,1,16,1,400,0
0,200,134,NA,0,NA,NA,400,0
1,173,128,NA,1,NA,NA,1,0
1,298,153,73,2,73,0,400,0
0,77,79,76,1,76,0,1,0
0,289,283,34,0,64,1,400,0
0,134,133,NA,0,NA,NA,30,0
1,272,124,71,0,94,1,400,0
1,149,134,9,0,78,2,120,0
0,284,231,40,0,40,1,1,0
0,8,6,NA,0,NA,NA,1,0
1,348,90,25,2,62,0,400,0
0,109,90,62,1,62,0,1,0
0,NA,NA,NA,0,NA,NA,NA,0
0,243,95,84,0,89,0,1,0
0,177,48,48,0,48,0,1,1
0,48,49,20,1,20,1,400,0
1,212,193,18,0,28,4,1,0
1,85,81,57,0,57,0,120,0
0,68,61,15,2,15,0,30,0
0,339,151,17,0,94,2,1,0
0,329,89,69,0,79,0,400,0
0,4,NA,NA,NA,NA,NA,NA,0
1,202,227,NA,0,NA,NA,1,0
0,181,53,NA,0,NA,NA,1,0
0,127,66,66,0,66,0,1,0
0,350,106,106,0,106,0,400,0
0,351,213,85,0,102,1,1,0
1,144,56,NA,1,NA,NA,400,1
0,208,80,61,1,71,0,1,0
0,224,204,NA,0,NA,NA,1,0
1,153,74,74,0,74,0,1,0
0,336,211,85,1,85,0,400,0
1,338,NA,NA,0,NA,NA,NA,0
1,321,246,82,4,113,1,400,0
1,281,75,40,0,40,0,120,0
1,296,23,23,0,23,1,1,0
0,297,110,60,0,60,0,90,0
0,151,38,38,0,38,0,1,0
0,202,181,NA,0,NA,NA,400,0
0,362,163,97,0,97,1,400,0
0,100,66,66,0,66,0,400,0
1,20,2,NA,0,NA,NA,1,1
0,227,173,NA,0,NA,NA,1,0
1,178,162,78,2,78,0,400,0
1,23,22,NA,0,NA,NA,400,0
1,279,266,52,0,52,1,1,0
0,262,263,126,0,126,0,1,0
0,382,194,76,0,92,2,120,0
0,145,145,NA,1,NA,NA,1,0
0,166,95,32,0,64,1,400,0
1,378,98,13,0,44,4,400,0
1,295,81,2,0,2,1,30,0
1,96,NA,NA,NA,NA,NA,NA,0
1,71,49,47,1,47,0,1,0
1,35,36,NA,0,NA,NA,1,0
1,213,98,NA,0,NA,NA,400,1
1,34,10,NA,0,NA,NA,1,0
0,330,158,48,0,48,1,1,0
1,305,100,NA,0,NA,NA,400,0
0,329,161,NA,1,NA,NA,1,0
0,45,47,NA,0,NA,NA,400,0
0,71,NA,NA,0,NA,NA,NA,0
0,148,NA,NA,0,NA,NA,NA,0
1,101,NA,NA,0,NA,NA,NA,0
0,84,85,NA,0,NA,NA,400,0
0,243,44,29,0,29,0,1,0
0,374,NA,NA,0,NA,NA,NA,0
0,288,139,NA,0,NA,NA,120,0
1,314,222,39,0,81,3,400,0
0,341,245,90,0,110,2,1,0
0,214,203,28,0,47,1,1,0
0,351,254,52,0,88,5,1,0
1,157,3,3,0,3,1,1,0
1,310,69,NA,1,NA,NA,400,0
1,343,95,95,0,95,0,1,0
0,56,NA,NA,NA,NA,NA,NA,0
1,292,270,NA,1,NA,NA,400,0
0,216,121,NA,0,NA,NA,1,0
1,242,85,NA,0,NA,NA,400,0
0,61,58,NA,0,NA,NA,400,0
0,343,212,NA,1,NA,NA,1,0
0,336,157,73,0,103,2,1,0
0,87,84,NA,0,NA,NA,1,0
1,250,129,129,0,129,0,400,0
0,318,122,108,0,108,0,1,0
0,318,355,NA,0,NA,NA,1,0
1,123,NA,NA,1,NA,NA,NA,0
1,74,62,37,0,37,0,400,0
1,77,57,15,0,17,2,1,0
0,353,200,27,0,92,1,400,0
1,19,16,NA,0,NA,NA,120,1
1,27,28,NA,0,NA,NA,120,0
1,243,120,17,1,53,0,400,0
1,90,82,NA,0,NA,NA,400,0
0,295,140,22,5,26,0,120,0
1,125,79,NA,0,NA,NA,400,0
0,251,126,NA,0,NA,NA,1,0
1,344,118,NA,0,NA,NA,400,0
1,331,171,10,0,40,0,400,0
0,66,64,NA,0,NA,NA,400,1
1,161,142,NA,2,NA,NA,1,1
0,136,69,NA,0,NA,NA,30,0
0,161,154,108,1,108,0,1,0
0,301,143,54,0,100,2,1,0
1,27,NA,NA,NA,NA,NA,NA,0
0,361,194,17,0,68,2,400,0
0,126,126,38,0,72,3,400,0
0,168,146,49,1,49,0,1,0
0,224,111,NA,0,NA,NA,1,1
0,40,30,30,0,30,1,120,0
0,205,73,73,0,73,1,1,0
0,329,164,19,0,69,3,400,0
0,212,196,53,0,103,2,400,0
1,94,78,NA,0,NA,NA,400,0
1,305,239,NA,0,NA,NA,1,0
0,205,111,9,0,45,3,1,0
0,331,188,40,1,96,4,1,0
0,269,120,86,1,86,0,400,0
0,131,131,NA,0,NA,NA,400,0
1,240,182,NA,0,NA,NA,1,0
1,206,100,68,1,84,1,400,0
0,282,169,97,7,110,2,1,0
1,432,244,9,2,67,1,400,0
0,296,221,143,1,143,1,400,0
1,110,105,30,2,47,1,400,0
0,317,235,98,0,116,3,1,0
0,119,16,NA,0,NA,NA,1,0
0,294,278,111,0,130,1,400,0
1,11,NA,NA,NA,NA,NA,NA,0
0,430,201,42,1,113,1,400,0
0,400,90,90,0,90,0,1,0
1,279,97,NA,0,NA,NA,400,0
0,272,173,45,1,45,0,400,0
0,30,25,NA,1,NA,NA,30,0
1,324,116,NA,0,NA,NA,400,0
0,246,169,23,0,23,0,400,0
1,157,137,30,1,84,1,400,1
0,207,94,94,0,94,0,1,0
0,385,74,37,0,37,0,400,0
1,153,150,NA,0,NA,NA,1,0
0,339,104,NA,0,NA,NA,400,0
0,343,326,47,0,47,1,400,0
0,330,152,NA,0,NA,NA,1,0
0,343,89,38,0,38,0,1,1
0,289,147,13,2,52,0,400,0
1,263,NA,NA,NA,NA,NA,NA,0
1,167,NA,NA,0,NA,NA,NA,0
0,296,NA,NA,NA,NA,NA,NA,0
0,324,113,41,0,61,1,1,0
0,355,150,34,1,100,1,30,0
1,57,17,NA,0,NA,NA,400,0
0,124,116,45,0,86,4,400,0
0,374,212,36,0,70,2,1,1
0,202,98,98,1,98,0,1,0
1,96,49,NA,1,NA,NA,1,0
1,178,83,5,0,5,1,400,0
1,135,97,NA,0,NA,NA,1,0
0,37,37,NA,0,NA,NA,1,0
0,161,NA,NA,0,NA,NA,NA,0
0,343,135,68,0,94,2,400,0
0,269,145,75,0,75,0,400,0
0,341,85,18,5,38,3,400,0
0,343,152,5,1,92,3,90,0
0,216,136,NA,0,NA,NA,1,0
1,282,145,124,1,124,1,400,0
1,291,93,29,0,29,1,400,0
0,25,17,NA,0,NA,NA,1,1
0,235,236,92,0,101,2,90,0
0,84,36,28,0,32,1,1,0
0,348,219,70,0,103,2,1,0
0,328,259,85,0,85,0,30,0
0,377,275,NA,0,NA,NA,1,0
0,303,207,15,0,15,0,30,0
1,260,79,NA,0,NA,NA,1,0
0,315,31,NA,0,NA,NA,1,0
0,235,110,9,3,53,1,400,0
0,64,53,NA,1,NA,NA,1,0
0,90,37,32,0,32,1,1,0
0,133,133,38,0,85,6,400,0
0,274,219,NA,1,NA,NA,400,0
1,151,151,NA,0,NA,NA,1,0
1,279,NA,NA,0,NA,NA,NA,0
0,229,124,37,1,73,2,400,0
1,254,101,NA,0,NA,NA,400,0
0,175,174,91,1,113,3,400,0
1,286,176,169,0,169,0,1,0
0,153,141,4,0,35,4,400,0
1,271,210,107,1,125,2,1,0
0,108,85,NA,0,NA,NA,400,0
0,156,103,63,0,63,0,400,0
1,228,240,154,1,195,2,1,0
1,87,NA,NA,0,NA,NA,NA,0
0,279,226,18,0,35,1,90,0
1,156,57,34,0,34,1,400,0
1,15,NA,NA,0,NA,NA,NA,0
1,240,72,NA,0,NA,NA,400,0
1,113,74,NA,1,NA,NA,1,1
0,NA,25,NA,0,NA,NA,1,NA
1,43,44,NA,0,NA,NA,1,0
0,42,NA,NA,0,NA,NA,NA,1
1,293,123,6,0,45,2,400,0
0,151,88,NA,0,NA,NA,400,0
1,130,114,4,0,44,1,400,0
0,29,20,NA,0,NA,NA,400,1
0,133,80,80,0,80,0,1,0
0,105,81,NA,0,NA,NA,1,0
0,89,NA,NA,NA,NA,NA,NA,0
0,351,88,88,0,88,0,1,0
1,355,116,50,1,71,7,1,0
1,337,163,51,1,51,0,400,0
0,167,87,38,1,63,0,400,0
0,294,342,22,0,86,4,1,0
0,178,65,NA,0,NA,NA,400,0
0,85,43,NA,0,NA,NA,1,0
0,277,112,NA,0,NA,NA,1,0
1,88,56,39,1,39,0,1,0
0,34,19,NA,1,NA,NA,1,0
0,201,162,40,0,72,2,1,0
0,349,210,82,0,106,2,1,0
0,276,183,38,0,78,2,60,0
1,305,143,42,0,91,2,400,0
0,270,138,23,0,81,2,400,0
0,169,35,NA,0,NA,NA,1,0
1,340,368,34,2,79,3,1,0
1,112,33,NA,2,NA,NA,400,0
1,302,39,NA,0,NA,NA,1,0
0,207,NA,NA,0,NA,NA,NA,0
1,157,NA,NA,0,NA,NA,NA,1
1,57,NA,NA,0,NA,NA,NA,0
1,268,106,35,0,53,0,400,0
1,235,241,50,5,68,4,1,0
0,372,140,62,0,101,1,1,0
1,69,32,NA,0,NA,NA,60,0
0,166,115,103,0,104,2,400,0
0,221,101,17,0,42,2,1,0
1,349,165,53,0,109,1,120,0
1,90,87,NA,0,NA,NA,400,0
1,281,108,108,1,108,0,1,0
0,261,147,10,1,10,1,1,0
0,118,NA,NA,NA,NA,NA,NA,0
0,325,205,21,0,47,2,30,0
1,348,91,79,0,79,0,30,0
0,311,90,90,0,90,0,30,0
0,79,73,NA,0,NA,NA,1,0
1,146,NA,NA,0,NA,NA,NA,1
0,303,252,NA,1,NA,NA,60,0
0,175,18,NA,0,NA,NA,400,0
0,373,NA,NA,0,NA,NA,NA,0
0,286,180,80,1,105,1,400,0
0,334,169,169,0,169,0,1,0
0,338,204,24,0,109,3,1,0
1,344,245,1,4,106,5,400,0
0,138,136,21,0,32,2,1,0
1,242,247,5,0,84,3,30,0
1,33,35,4,0,19,3,400,0
1,134,58,NA,0,NA,NA,400,0
0,312,89,NA,0,NA,NA,400,0
0,181,111,38,3,48,0,400,0
1,132,57,NA,0,NA,NA,400,0
1,115,115,27,0,27,0,400,1
0,129,114,82,0,82,0,1,0
0,130,124,11,0,77,4,400,0
0,299,132,40,0,87,2,400,0
0,377,111,16,1,51,1,400,0
0,75,75,28,0,40,2,1,0
0,34,17,NA,0,NA,NA,60,0
0,137,24,NA,0,NA,NA,1,0
1,119,108,19,0,50,10,400,0
1,42,34,NA,0,NA,NA,1,0
0,240,161,73,1,87,3,60,0
0,72,57,NA,0,NA,NA,1,0
0,348,135,23,4,87,5,1,0
1,15,NA,NA,NA,NA,NA,NA,0
0,235,70,NA,0,NA,NA,1,1
0,21,NA,NA,1,NA,NA,NA,1
0,267,133,NA,0,NA,NA,1,1
1,37,18,NA,0,NA,NA,1,1
1,190,142,20,2,80,0,400,0
0,190,NA,NA,0,NA,NA,NA,0
1,327,100,33,1,76,1,400,0
0,NA,70,40,0,48,2,1,0
0,309,86,NA,0,NA,NA,120,0
1,202,149,54,2,70,0,400,0
0,315,304,22,0,56,1,400,0
1,69,41,NA,1,NA,NA,1,0
0,181,83,83,0,83,1,1,0
0,295,142,142,0,142,0,400,0
1,42,5,NA,0,NA,NA,1,0
1,173,171,NA,0,NA,NA,400,0
0,261,157,157,0,157,1,400,0
1,272,242,18,1,18,1,400,0
0,262,106,106,0,106,0,1,0
1,368,120,41,0,41,0,120,0
1,117,116,75,0,102,0,30,0
0,127,113,11,0,68,4,400,1
0,148,105,NA,0,NA,NA,400,0
0,277,159,49,0,81,2,400,0
1,238,137,NA,0,NA,NA,1,0
0,66,35,NA,1,NA,NA,400,1
1,12,3,NA,0,NA,NA,1,0
0,156,NA,NA,1,NA,NA,NA,0
0,352,134,40,1,87,1,1,0
1,204,178,56,0,56,0,1,0
0,301,NA,NA,NA,NA,NA,NA,0
0,111,106,92,3,92,1,1,0
0,65,65,NA,2,NA,NA,1,0
1,301,133,103,1,103,0,1,0
0,290,156,NA,0,NA,NA,1,1
1,352,204,204,0,204,0,1,0
1,34,31,NA,0,NA,NA,1,0
0,276,41,NA,0,NA,NA,1,0
0,178,141,NA,0,NA,NA,400,1
1,162,160,NA,0,NA,NA,1,0
0,256,181,48,0,51,0,1,0
0,229,NA,NA,NA,NA,NA,NA,0
0,215,128,16,0,72,1,30,0
0,293,NA,NA,NA,NA,NA,NA,0
0,481,125,33,1,59,1,30,0
0,290,100,NA,0,NA,NA,400,0
0,197,203,NA,1,NA,NA,400,0
1,318,118,NA,0,NA,NA,400,0
0,237,107,68,0,88,0,1,0
0,278,227,71,0,71,0,400,0
0,215,208,164,0,164,1,400,0
0,163,139,50,4,77,1,90,0
0,144,141,85,0,85,0,400,0
0,111,54,NA,1,NA,NA,400,0
0,286,97,NA,0,NA,NA,400,0
1,158,159,24,2,88,2,400,1
1,190,153,153,0,153,1,400,0
0,202,170,55,0,94,1,400,0
0,186,NA,NA,0,NA,NA,NA,0
0,358,250,5,2,104,2,120,0
1,264,127,12,0,52,1,400,0
1,150,88,NA,0,NA,NA,400,0
0,270,33,NA,0,NA,NA,1,1
0,380,169,90,1,90,0,1,0
1,226,140,112,0,121,2,1,0
0,206,31,26,0,26,0,400,0
1,NA,NA,NA,NA,NA,NA,NA,NA
1,107,58,NA,0,NA,NA,400,0
1,203,120,NA,1,NA,NA,400,0
0,349,416,46,0,96,1,1,0
0,147,113,NA,0,NA,NA,400,0
0,304,NA,NA,0,NA,NA,NA,0
1,3,NA,NA,NA,NA,NA,NA,0
0,120,112,NA,1,NA,NA,400,0
1,334,154,11,0,18,1,400,0
0,NA,NA,NA,0,NA,NA,NA,NA
0,289,82,44,0,44,0,400,1
0,269,121,35,0,68,0,1,0
0,155,103,51,0,74,2,1,0
1,76,NA,NA,1,NA,NA,NA,0
1,107,NA,NA,0,NA,NA,NA,0
1,318,94,5,2,39,2,30,0
1,258,NA,NA,0,NA,NA,NA,0
1,51,58,NA,0,NA,NA,400,0
1,178,91,10,0,51,1,400,0
1,133,NA,NA,NA,NA,NA,NA,0
1,116,NA,NA,1,NA,NA,NA,0
1,131,NA,NA,0,NA,NA,NA,0
0,357,238,71,1,77,0,400,0
1,183,124,29,0,43,1,400,0
0,342,193,126,0,126,1,90,0
0,122,92,NA,1,NA,NA,400,0
0,87,83,NA,0,NA,NA,400,0
0,202,181,77,0,97,2,1,0
0,374,144,22,0,96,1,30,0
0,115,111,78,1,86,2,400,0
0,167,NA,NA,0,NA,NA,NA,1
1,336,80,NA,0,NA,NA,400,0
0,198,93,2,0,2,0,30,0
0,242,124,NA,0,NA,NA,1,0
0,9,10,NA,1,NA,NA,1,0
0,224,208,NA,0,NA,NA,400,0
0,183,121,95,1,95,0,400,0
0,70,16,NA,0,NA,NA,1,0
0,5,NA,NA,0,NA,NA,NA,1
0,345,260,NA,0,NA,NA,1,0
0,302,231,NA,0,NA,NA,1,0
0,245,134,4,0,72,4,1,0
1,207,112,70,0,72,0,400,0
1,335,333,163,0,163,1,400,0
0,294,184,3,0,29,1,90,0
0,106,86,31,0,57,1,400,0
1,392,150,90,1,112,6,400,0
0,145,NA,NA,NA,NA,NA,NA,0
0,194,178,30,0,68,6,400,0
1,316,234,26,2,101,1,400,1
0,374,149,51,0,51,1,400,0
0,228,239,43,1,96,2,400,0
0,129,129,1,1,65,2,60,0
0,161,NA,NA,0,NA,NA,NA,0
1,375,437,NA,0,NA,NA,400,0
0,112,98,55,0,69,0,1,1
0,263,88,74,0,74,0,1,0
0,344,129,53,1,53,0,1,0
0,227,171,27,0,51,0,1,1
1,206,117,NA,0,NA,NA,400,0
1,108,42,NA,0,NA,NA,1,0
0,260,152,NA,0,NA,NA,1,0
1,261,159,40,0,99,1,400,0
1,32,4,NA,0,NA,NA,1,1
0,356,309,9,1,68,2,400,1
0,139,NA,NA,0,NA,NA,NA,0
0,312,228,21,0,55,2,400,1
0,167,28,NA,0,NA,NA,400,1
0,64,66,NA,0,NA,NA,400,0
1,372,303,96,0,122,1,120,0
1,267,76,NA,0,NA,NA,400,0
0,216,200,73,0,80,0,400,0
1,108,NA,NA,0,NA,NA,NA,0
0,22,14,NA,0,NA,NA,1,0
0,325,110,59,0,59,1,1,0
1,212,72,72,1,72,1,400,0
1,40,65,19,1,30,2,120,0
0,382,113,44,0,73,1,1,0
1,303,212,103,0,133,6,1,0
0,376,NA,NA,NA,NA,NA,NA,0
1,289,95,95,0,95,0,400,0
1,21,NA,NA,NA,NA,NA,NA,1
0,290,234,25,0,90,3,30,0
1,233,126,4,1,55,2,30,0
0,214,195,106,0,115,2,1,0
0,90,87,NA,1,NA,NA,400,0
1,233,65,11,0,11,1,1,0
0,350,155,28,0,76,2,1,0
1,168,121,NA,0,NA,NA,1,0
1,337,123,57,0,90,0,400,0
1,96,100,NA,0,NA,NA,1,1
1,213,81,NA,0,NA,NA,400,0
0,256,88,38,0,38,0,1,0
0,606,188,35,0,96,2,60,0
0,290,NA,NA,0,NA,NA,NA,0
0,304,110,NA,0,NA,NA,1,0
0,114,59,NA,0,NA,NA,1,0
1,380,137,NA,0,NA,NA,1,0
0,247,154,89,1,89,0,1,0
0,249,101,NA,1,NA,NA,400,0
1,18,18,NA,0,NA,NA,1,0
1,512,118,81,0,81,1,1,0
1,38,NA,NA,0,NA,NA,NA,0
0,315,378,68,1,68,0,400,0
0,273,174,10,0,52,0,400,0
1,12,5,NA,0,NA,NA,1,0
0,33,NA,NA,0,NA,NA,NA,1
0,322,NA,NA,0,NA,NA,NA,0
0,175,NA,NA,0,NA,NA,NA,0
0,218,89,NA,0,NA,NA,1,0
1,10,NA,NA,0,NA,NA,NA,0
1,58,57,NA,0,NA,NA,400,0
0,327,96,32,0,67,0,400,0
1,268,133,21,3,26,0,90,0
0,151,43,NA,0,NA,NA,1,0
0,288,76,NA,0,NA,NA,1,0
0,323,130,4,0,71,3,1,0
0,35,NA,NA,0,NA,NA,NA,0
1,299,138,78,1,96,2,400,0
0,275,NA,NA,NA,NA,NA,NA,0
0,221,216,36,0,62,2,400,0
1,325,353,111,0,111,0,1,0
1,202,18,NA,0,NA,NA,1,0
0,188,129,91,0,104,1,1,0
0,252,262,40,0,84,3,400,0
0,352,139,75,0,98,1,1,0
1,235,139,79,0,79,0,1,0
0,253,86,43,0,65,0,400,0
0,120,120,31,0,31,1,1,0
1,92,5,NA,0,NA,NA,1,1
0,142,NA,NA,NA,NA,NA,NA,0
1,332,137,73,1,90,0,30,0
0,78,31,31,0,31,1,30,0
0,116,102,NA,0,NA,NA,1,0
1,171,118,NA,0,NA,NA,1,1
1,114,31,NA,0,NA,NA,1,0
0,294,179,112,0,146,1,1,0
1,165,163,37,0,93,1,1,0
0,160,91,NA,0,NA,NA,1,0
0,295,163,46,0,75,0,400,0
0,295,NA,NA,0,NA,NA,NA,0
0,323,43,22,0,22,0,400,0
0,303,134,134,0,134,0,1,0
0,222,128,22,1,56,0,30,0
0,153,3,NA,0,NA,NA,1,0
1,71,68,14,0,14,1,400,0
0,39,NA,NA,0,NA,NA,NA,0
1,163,84,NA,0,NA,NA,400,0
0,NA,NA,NA,0,NA,NA,NA,0
1,130,112,110,0,110,1,400,0
0,181,50,9,0,9,1,1,1
1,278,77,NA,0,NA,NA,400,0
1,205,133,49,0,49,0,400,1
1,152,98,NA,0,NA,NA,1,0
0,339,151,NA,1,NA,NA,400,0
0,358,154,4,0,92,4,30,0
1,80,74,71,0,71,0,400,0
1,349,82,76,0,76,0,400,0
0,112,112,NA,1,NA,NA,1,1
0,292,93,NA,0,NA,NA,1,0
0,205,NA,NA,0,NA,NA,NA,0
0,207,117,108,0,108,0,400,0
0,117,108,NA,1,NA,NA,400,0
0,346,96,23,0,65,3,400,0
0,16,NA,NA,NA,NA,NA,NA,0
1,195,121,78,0,100,1,400,0
0,308,126,13,0,46,1,30,0
1,239,7,7,0,7,1,1,1
0,258,181,14,0,113,4,400,0
0,45,31,NA,0,NA,NA,1,1
1,321,234,90,0,90,0,1,0
1,NA,NA,NA,0,NA,NA,NA,0
0,113,109,NA,0,NA,NA,1,0
